ticker,event_ticker,market_type,title,subtitle,yes_sub_title,no_sub_title,open_time,close_time,expected_expiration_time,expiration_time,latest_expiration_time,settlement_timer_seconds,status,response_price_units,notional_value,tick_size,yes_bid,yes_ask,no_bid,no_ask,last_price,previous_yes_bid,previous_yes_ask,previous_price,volume,volume_24h,liquidity,open_interest,result,can_close_early,expiration_value,category,risk_limit_cents,rules_primary,rules_secondary,strike_type,custom_strike,floor_strike,cap_strike,settlement_value,fee_waiver_expiration_time
KXRECESSAPPT-25-TG,KXRECESSAPPT-25,binary,"Will Tulsi Gabbard be appointed to the Trump Administration via recess appointment before Aug 1, 2025?",,Tulsi Gabbard,Tulsi Gabbard,2024-11-20T15:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Politics,0,"If Tulsi Gabbard is appointed to the Trump Administration in any role via recess appointment in a position that would otherwise require Senate confirmation before Aug 1, 2025, then the market resolves to Yes.",,,,,,,
KXRECESSAPPT-25-RFK,KXRECESSAPPT-25,binary,"Will Robert F. Kennedy Jr. be appointed to the Trump Administration via recess appointment before Aug 1, 2025?",,Robert F. Kennedy Jr.,Robert F. Kennedy Jr.,2024-11-20T15:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Politics,0,"If Robert F. Kennedy Jr. is appointed to the Trump Administration in any role via recess appointment in a position that would otherwise require Senate confirmation before Aug 1, 2025, then the market resolves to Yes.",,,,,,,
KXRECESSAPPT-25-PH,KXRECESSAPPT-25,binary,"Will Pete Hegseth be appointed to the Trump Administration via recess appointment before Aug 1, 2025?",,Pete Hegseth,Pete Hegseth,2024-11-20T15:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Politics,0,"If Pete Hegseth is appointed to the Trump Administration in any role via recess appointment in a position that would otherwise require Senate confirmation before Aug 1, 2025, then the market resolves to Yes.",,,,,,,
KXRECESSAPPT-25-MG,KXRECESSAPPT-25,binary,"Will Matt Gaetz be appointed to the Trump Administration via recess appointment before Aug 1, 2025?",,Matt Gaetz,Matt Gaetz,2024-11-20T15:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,2025-08-01T14:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Politics,0,"If Matt Gaetz is appointed to the Trump Administration in any role via recess appointment in a position that would otherwise require Senate confirmation before Aug 1, 2025, then the market resolves to Yes.",,,,,,,
KXCRITICSDRAMASUPACTR-25-T,KXCRITICSDRAMASUPACTR-25,binary,Will Tie win Best Supporting Actress in a Drama Series at the Critics Choice Awards?,::,Tie,Tie,2024-11-20T15:00:00Z,2025-12-31T15:00:00Z,2025-01-12T15:00:00Z,2025-12-31T15:00:00Z,2025-12-31T15:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Entertainment,0,"If Tie has won Best Supporting Actress in a Drama Series at the 30th Critics Choice Awards, then the market resolves to Yes.","The 30th Critics Choice Awards are expected to be held on January 12, 2025.",custom,{'Nominee': 'Tie'},,,,
KXCRITICSDRAMASUPACTR-25-EB,KXCRITICSDRAMASUPACTR-25,binary,Will Eve Best win Best Supporting Actress in a Drama Series at the Critics Choice Awards?,:: House of the Dragon,Eve Best,Eve Best,2024-11-20T15:00:00Z,2025-12-31T15:00:00Z,2025-01-12T15:00:00Z,2025-12-31T15:00:00Z,2025-12-31T15:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Entertainment,0,"If Eve Best has won Best Supporting Actress in a Drama Series at the 30th Critics Choice Awards, then the market resolves to Yes.","The 30th Critics Choice Awards are expected to be held on January 12, 2025.",custom,{'Nominee': 'Eve Best'},,,,
KXCRITICSDRAMASUPACTR-25-FN,KXCRITICSDRAMASUPACTR-25,binary,Will Fumi Nikaido win Best Supporting Actress in a Drama Series at the Critics Choice Awards?,:: Shōgun,Fumi Nikaido,Fumi Nikaido,2024-11-20T15:00:00Z,2025-12-31T15:00:00Z,2025-01-12T15:00:00Z,2025-12-31T15:00:00Z,2025-12-31T15:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Entertainment,0,"If Fumi Nikaido has won Best Supporting Actress in a Drama Series at the 30th Critics Choice Awards, then the market resolves to Yes.","The 30th Critics Choice Awards are expected to be held on January 12, 2025.",custom,{'Nominee': 'Fumi Nikaido'},,,,
KXCRITICSSTANDUP-25-T,KXCRITICSSTANDUP-25,binary,Will Tie win Best Comedy Special at the Critics Choice Awards?,::,Tie,Tie,2024-11-20T15:00:00Z,2025-12-31T15:00:00Z,2025-01-12T15:00:00Z,2025-12-31T15:00:00Z,2025-12-31T15:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Entertainment,0,"If Tie has won Best Comedy Special at the 30th Critics Choice Awards, then the market resolves to Yes.","The 30th Critics Choice Awards are expected to be held on January 12, 2025.",custom,{'Nominee': 'Tie'},,,,
KXCRITICSSTANDUP-25-RY,KXCRITICSSTANDUP-25,binary,Will Ramy Youssef win Best Comedy Special at the Critics Choice Awards?,:: More Feelings,Ramy Youssef,Ramy Youssef,2024-11-20T15:00:00Z,2025-12-31T15:00:00Z,2025-01-12T15:00:00Z,2025-12-31T15:00:00Z,2025-12-31T15:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Entertainment,0,"If Ramy Youssef has won Best Comedy Special at the 30th Critics Choice Awards, then the market resolves to Yes.","The 30th Critics Choice Awards are expected to be held on January 12, 2025.",custom,{'Nominee': 'Ramy Youssef'},,,,
KXCRITICSSTANDUP-25-KW,KXCRITICSSTANDUP-25,binary,Will Katt Williams win Best Comedy Special at the Critics Choice Awards?,:: Woke Foke,Katt Williams,Katt Williams,2024-11-20T15:00:00Z,2025-12-31T15:00:00Z,2025-01-12T15:00:00Z,2025-12-31T15:00:00Z,2025-12-31T15:00:00Z,1800,initialized,usd_cent,100,1,0,0,100,100,0,0,0,0,0,0,0,0,,True,,Entertainment,0,"If Katt Williams has won Best Comedy Special at the 30th Critics Choice Awards, then the market resolves to Yes.","The 30th Critics Choice Awards are expected to be held on January 12, 2025.",custom,{'Nominee': 'Katt Williams'},,,,
